source,target,mean_diff,p,perms,rank,q
1,0,0.08333333333333326,1.0,20000,265,1.0
2,0,0.25,0.3168841557922104,20000,58,1.0
3,0,0.16666666666666663,0.6759162041897905,20000,216,1.0
4,0,0.08333333333333326,1.0,20000,428,1.0
5,0,0.33333333333333337,0.09539523023848807,20000,20,1.0
6,0,0.33333333333333326,0.15429228538573073,20000,25,1.0
7,0,0.08333333333333337,1.0,20000,365,1.0
8,0,0.0,1.0,20000,332,1.0
9,0,-0.08333333333333326,1.0,20000,314,1.0
10,0,-0.16666666666666663,0.6671166441677916,20000,203,1.0
11,0,-0.3333333333333333,0.2111894405279736,20000,36,1.0
12,0,0.25,0.31713414329283535,20000,59,1.0
13,0,-0.08333333333333326,1.0,20000,304,1.0
14,0,0.08333333333333337,1.0,20000,354,1.0
15,0,0.0,1.0,20000,339,1.0
16,0,-0.08333333333333337,1.0,20000,375,1.0
17,0,0.08333333333333326,1.0,20000,411,1.0
18,0,0.0,1.0,20000,404,1.0
19,0,0.0,1.0,20000,446,1.0
20,0,0.0,1.0,20000,475,1.0
21,0,-0.08333333333333337,1.0,20000,254,1.0
22,0,-0.25,0.31973401329933504,20000,65,1.0
0,1,0.08333333333333337,1.0,20000,506,1.0
2,1,0.25,0.2224388780560972,20000,44,1.0
3,1,0.0,1.0,20000,490,1.0
4,1,0.0,1.0,20000,429,1.0
5,1,-0.08333333333333326,1.0,20000,399,1.0
6,1,0.08333333333333326,1.0,20000,387,1.0
7,1,0.25,0.216039198040098,20000,37,1.0
8,1,0.08333333333333337,1.0,20000,333,1.0
9,1,0.0,1.0,20000,315,1.0
10,1,-0.25,0.3192340382980851,20000,62,1.0
11,1,-0.25,0.3945302734863257,20000,92,1.0
12,1,0.16666666666666663,0.4816259187040648,20000,125,1.0
13,1,-0.08333333333333337,1.0,20000,305,1.0
14,1,-0.16666666666666674,0.6418179091045447,20000,190,1.0
15,1,-0.08333333333333337,1.0,20000,340,1.0
16,1,0.08333333333333326,1.0,20000,376,1.0
17,1,0.16666666666666663,0.5886705664716764,20000,141,1.0
18,1,-0.08333333333333337,1.0,20000,454,1.0
19,1,-0.08333333333333337,1.0,20000,447,1.0
20,1,0.0,1.0,20000,476,1.0
21,1,0.08333333333333337,1.0,20000,255,1.0
22,1,-0.16666666666666663,0.6813159342032898,20000,223,1.0
0,2,0.08333333333333337,1.0,20000,505,1.0
1,2,0.16666666666666663,0.5956202189890506,20000,161,1.0
3,2,0.25,0.3712314384280786,20000,85,1.0
4,2,0.08333333333333337,1.0,20000,430,1.0
5,2,0.08333333333333337,1.0,20000,400,1.0
6,2,0.16666666666666663,0.5884705764711764,20000,140,1.0
7,2,0.25,0.3193340332983351,20000,63,1.0
8,2,0.16666666666666663,0.591370431478426,20000,152,1.0
9,2,0.0,1.0,20000,316,1.0
10,2,-0.08333333333333337,1.0,20000,277,1.0
11,2,0.08333333333333337,1.0,20000,298,1.0
12,2,-0.08333333333333337,1.0,20000,289,1.0
13,2,0.0,1.0,20000,306,1.0
14,2,0.16666666666666663,0.6728663566821659,20000,214,1.0
15,2,0.25,0.39988000599970003,20000,95,1.0
16,2,0.08333333333333331,1.0,20000,377,1.0
17,2,-0.08333333333333337,1.0,20000,412,1.0
18,2,0.08333333333333337,1.0,20000,455,1.0
19,2,0.08333333333333337,1.0,20000,448,1.0
20,2,0.16666666666666669,0.6855657217139143,20000,236,1.0
21,2,0.16666666666666663,0.6734163291835408,20000,215,1.0
22,2,0.08333333333333337,1.0,20000,240,1.0
0,3,0.0,1.0,20000,504,1.0
1,3,-0.08333333333333337,1.0,20000,266,1.0
2,3,0.16666666666666663,0.664016799160042,20000,198,1.0
4,3,0.0,1.0,20000,431,1.0
5,3,0.16666666666666663,0.5875706214689266,20000,137,1.0
6,3,0.08333333333333337,1.0,20000,388,1.0
7,3,0.08333333333333326,1.0,20000,356,1.0
8,3,-0.08333333333333326,1.0,20000,334,1.0
9,3,-0.16666666666666663,0.4735263236838158,20000,111,1.0
10,3,-0.16666666666666674,0.6392180390980451,20000,179,1.0
11,3,-0.16666666666666663,0.5976201189940503,20000,162,1.0
12,3,0.25,0.368081595920204,20000,75,1.0
13,3,-0.16666666666666663,0.4794260286985651,20000,118,1.0
14,3,0.0,1.0,20000,345,1.0
15,3,0.08333333333333337,1.0,20000,383,1.0
16,3,0.0,1.0,20000,378,1.0
17,3,-0.16666666666666663,0.6698665066746663,20000,212,1.0
18,3,-0.16666666666666663,0.4751762411879406,20000,114,1.0
19,3,-0.16666666666666663,0.48137593120343986,20000,124,1.0
20,3,0.0,1.0,20000,477,1.0
21,3,0.16666666666666674,0.6378681065946703,20000,172,1.0
22,3,-0.41666666666666663,0.06674666266686666,20000,8,1.0
0,4,0.0,1.0,20000,501,1.0
1,4,0.16666666666666663,0.4755262236888156,20000,115,1.0
2,4,0.25,0.22138893055347234,20000,41,1.0
3,4,0.0,1.0,20000,483,1.0
5,4,0.0,1.0,20000,401,1.0
6,4,0.25,0.21938903054847259,20000,40,1.0
7,4,0.08333333333333326,1.0,20000,357,1.0
8,4,0.0,1.0,20000,335,1.0
9,4,0.08333333333333326,1.0,20000,317,1.0
10,4,0.08333333333333326,1.0,20000,278,1.0
11,4,-0.4166666666666667,0.09629518524073796,20000,22,1.0
12,4,0.16666666666666663,0.5900704964751763,20000,144,1.0
13,4,0.08333333333333326,1.0,20000,307,1.0
14,4,0.0,1.0,20000,346,1.0
15,4,0.16666666666666674,0.6378181090945453,20000,171,1.0
16,4,0.08333333333333331,1.0,20000,379,1.0
17,4,0.16666666666666663,0.6662166891655418,20000,201,1.0
18,4,0.08333333333333337,1.0,20000,456,1.0
19,4,0.0,1.0,20000,438,1.0
20,4,0.25,0.36978151092445377,20000,82,1.0
21,4,-0.16666666666666674,0.6359682015899205,20000,166,1.0
22,4,0.0,1.0,20000,241,1.0
0,5,0.25,0.399930003499825,20000,96,1.0
1,5,0.25,0.3145342732863357,20000,50,1.0
