source,target,mean_diff,p,perms,rank,q
1,0,0.16666666666666663,0.5885705714714264,20000,150,1.0
2,0,0.0,1.0,20000,273,1.0
3,0,0.0,1.0,20000,231,1.0
4,0,0.16666666666666663,0.592070396480176,20000,161,1.0
5,0,0.16666666666666663,0.47897605119744013,20000,124,1.0
6,0,0.25,0.32138393080345984,20000,78,1.0
7,0,0.0,1.0,20000,311,1.0
8,0,0.0,1.0,20000,292,1.0
9,0,-0.08333333333333326,1.0,20000,472,1.0
10,0,-0.33333333333333326,0.15314234288285586,20000,33,1.0
11,0,-0.08333333333333331,1.0,20000,291,1.0
12,0,0.08333333333333326,1.0,20000,298,1.0
13,0,0.0,1.0,20000,324,1.0
14,0,-0.08333333333333326,1.0,20000,358,1.0
15,0,0.08333333333333337,1.0,20000,384,1.0
16,0,-0.33333333333333337,0.19254037298135093,20000,44,1.0
17,0,0.08333333333333326,1.0,20000,408,1.0
18,0,0.0,1.0,20000,441,1.0
19,0,0.0,1.0,20000,455,1.0
20,0,-0.08333333333333337,1.0,20000,238,1.0
21,0,-0.16666666666666663,0.5926203689815509,20000,162,1.0
22,0,0.08333333333333326,1.0,20000,491,1.0
0,1,0.0,1.0,20000,505,1.0
2,1,0.25,0.21733913304334784,20000,56,1.0
3,1,0.08333333333333326,1.0,20000,232,1.0
4,1,0.16666666666666663,0.5893705314734263,20000,151,1.0
5,1,0.0,1.0,20000,421,1.0
6,1,0.16666666666666663,0.5831708414579271,20000,130,1.0
7,1,0.16666666666666663,0.4773761311934403,20000,120,1.0
8,1,0.33333333333333337,0.09079546022698864,20000,14,1.0
9,1,0.08333333333333337,1.0,20000,457,1.0
10,1,-0.16666666666666674,0.64076796160192,20000,182,1.0
11,1,-0.08333333333333337,1.0,20000,279,1.0
12,1,0.16666666666666663,0.48112594370281486,20000,127,1.0
13,1,0.0,1.0,20000,325,1.0
14,1,-0.16666666666666674,0.6411179441027949,20000,184,1.0
15,1,0.0,1.0,20000,385,1.0
16,1,0.24999999999999994,0.4113794310284486,20000,106,1.0
17,1,0.08333333333333326,1.0,20000,409,1.0
18,1,0.0,1.0,20000,442,1.0
19,1,0.0,1.0,20000,456,1.0
20,1,0.16666666666666663,0.671866406679666,20000,199,1.0
21,1,-0.08333333333333326,1.0,20000,272,1.0
22,1,-0.16666666666666663,0.6848157592120394,20000,216,1.0
0,2,-0.16666666666666663,0.5884705764711764,20000,147,1.0
1,2,0.33333333333333326,0.15344232788360582,20000,35,1.0
