source,target,mean_diff,p,perms,rank,q
1,0,-0.08333333333333337,0.06272882597022211,4096,111,0.15774401457719606
2,0,0.25,0.2501830607761777,4096,303,0.15713260366798212
3,0,0.16666666666666663,0.12521357090554064,4096,210,0.15713260366798212
4,0,-0.08333333333333337,0.2501830607761777,4096,370,0.15713260366798212
5,0,0.16666666666666674,0.12521357090554064,4096,268,0.15713260366798212
6,0,0.08333333333333326,0.06272882597022211,4096,105,0.15774401457719606
7,0,0.08333333333333337,0.2501830607761777,4096,344,0.15713260366798212
8,0,0.0,0.12521357090554064,4096,233,0.15713260366798212
9,0,0.0,0.5001220405174518,4096,462,0.15713260366798212
10,0,0.16666666666666663,0.12521357090554064,4096,219,0.15713260366798212
11,0,-0.25,0.06272882597022211,4096,147,0.15774401457719606
12,0,0.16666666666666674,0.12521357090554064,4096,282,0.15713260366798212
13,0,-0.08333333333333326,0.2501830607761777,4096,328,0.15713260366798212
14,0,0.16666666666666663,0.12521357090554064,4096,214,0.15713260366798212
15,0,-0.08333333333333337,0.06272882597022211,4096,160,0.15774401457719606
16,0,0.25,0.06272882597022211,4096,188,0.15774401457719606
17,0,0.0,0.12521357090554064,4096,259,0.15713260366798212
18,0,0.0,0.12521357090554064,4096,253,0.15713260366798212
19,0,0.0,0.5001220405174518,4096,441,0.15713260366798212
20,0,0.08333333333333337,0.06272882597022211,4096,114,0.15774401457719606
21,0,0.08333333333333326,0.2501830607761777,4096,375,0.15713260366798212
22,0,-0.33333333333333326,0.03148645350256285,4096,88,0.17839611639953354
0,1,0.08333333333333337,0.06272882597022211,4096,122,0.15774401457719606
2,1,0.0,0.5001220405174518,4096,464,0.15713260366798212
3,1,-0.08333333333333326,0.2501830607761777,4096,383,0.15713260366798212
4,1,-0.16666666666666663,0.5001220405174518,4096,443,0.15713260366798212
5,1,-0.08333333333333326,0.2501830607761777,4096,371,0.15713260366798212
6,1,-0.08333333333333337,0.2501830607761777,4096,400,0.15713260366798212
7,1,0.08333333333333337,0.2501830607761777,4096,342,0.15713260366798212
8,1,-0.25,0.2501830607761777,4096,362,0.15713260366798212
9,1,-0.08333333333333337,1.0,4096,489,0.15713260366798212
10,1,-0.08333333333333326,1.0,4096,486,0.15713260366798212
11,1,-0.16666666666666663,0.03148645350256285,4096,77,0.17839611639953354
12,1,0.0,0.12521357090554064,4096,283,0.15713260366798212
13,1,-0.08333333333333337,1.0,4096,480,0.15713260366798212
14,1,0.0,0.12521357090554064,4096,215,0.15713260366798212
15,1,-0.08333333333333337,0.2501830607761777,4096,322,0.15713260366798212
16,1,-0.16666666666666669,0.12521357090554064,4096,224,0.15713260366798212
17,1,0.08333333333333337,0.06272882597022211,4096,167,0.15774401457719606
18,1,-0.08333333333333337,1.0,4096,492,0.15713260366798212
19,1,-0.08333333333333337,1.0,4096,500,0.15713260366798212
20,1,-0.16666666666666663,0.12521357090554064,4096,294,0.15713260366798212
21,1,0.16666666666666663,0.12521357090554064,4096,287,0.15713260366798212
22,1,0.0,0.03148645350256285,4096,91,0.17507852167359125
0,2,0.25,0.06272882597022211,4096,171,0.15774401457719606
1,2,-0.16666666666666663,0.008054674151818403,4096,8,0.509458140102514
3,2,-0.16666666666666669,0.03148645350256285,4096,71,0.17839611639953354
4,2,-0.16666666666666663,0.008054674151818403,4096,3,1.0
5,2,0.16666666666666663,0.12521357090554064,4096,269,0.15713260366798212
6,2,-0.08333333333333337,0.01586526726873322,4096,17,0.37051501098364653
7,2,0.16666666666666674,0.12521357090554064,4096,239,0.15713260366798212
8,2,0.0,0.12521357090554064,4096,234,0.15713260366798212
9,2,0.08333333333333326,0.2501830607761777,4096,353,0.15713260366798212
10,2,0.08333333333333326,0.2501830607761777,4096,357,0.15713260366798212
11,2,0.08333333333333337,0.06272882597022211,4096,148,0.15774401457719606
12,2,-0.16666666666666674,0.12521357090554064,4096,284,0.15713260366798212
13,2,0.08333333333333337,0.2501830607761777,4096,317,0.15713260366798212
14,2,0.33333333333333326,0.03148645350256285,4096,81,0.17839611639953354
15,2,0.25,0.06272882597022211,4096,145,0.15774401457719606
16,2,0.16666666666666669,0.03148645350256285,4096,90,0.1770238385810756
17,2,0.08333333333333337,0.2501830607761777,4096,409,0.15713260366798212
18,2,0.08333333333333337,0.06272882597022211,4096,158,0.15774401457719606
19,2,0.08333333333333337,0.2501830607761777,4096,405,0.15713260366798212
20,2,0.0,0.12521357090554064,4096,295,0.15713260366798212
21,2,0.25,0.01586526726873322,4096,38,0.21125855889418443
22,2,-0.08333333333333331,0.2501830607761777,4096,301,0.15713260366798212
0,3,0.16666666666666663,0.12521357090554064,4096,297,0.15713260366798212
1,3,-0.08333333333333337,0.06272882597022211,4096,112,0.15774401457719606
2,3,0.33333333333333326,0.03148645350256285,4096,94,0.16949090927975322
4,3,-0.25,0.2501830607761777,4096,374,0.15713260366798212
5,3,0.08333333333333337,0.2501830607761777,4096,397,0.15713260366798212
6,3,0.08333333333333337,0.06272882597022211,4096,161,0.15774401457719606
7,3,-0.16666666666666674,0.5001220405174518,4096,424,0.15713260366798212
8,3,-0.16666666666666663,0.12521357090554064,4096,235,0.15713260366798212
9,3,-0.16666666666666663,0.5001220405174518,4096,419,0.15713260366798212
10,3,0.0,1.0,4096,473,0.15713260366798212
11,3,-0.16666666666666663,0.5001220405174518,4096,410,0.15713260366798212
12,3,0.08333333333333326,0.01586526726873322,4096,28,0.286708044213536
13,3,-0.16666666666666663,0.5001220405174518,4096,437,0.15713260366798212
14,3,0.08333333333333337,1.0,4096,485,0.15713260366798212
15,3,0.0,0.03148645350256285,4096,79,0.17839611639953354
16,3,-0.08333333333333337,0.06272882597022211,4096,186,0.15774401457719606
17,3,0.0,0.5001220405174518,4096,448,0.15713260366798212
18,3,-0.08333333333333337,1.0,4096,491,0.15713260366798212
19,3,-0.16666666666666663,0.5001220405174518,4096,447,0.15713260366798212
20,3,0.16666666666666663,0.12521357090554064,4096,288,0.15713260366798212
21,3,0.33333333333333337,0.12521357090554064,4096,205,0.15713260366798212
22,3,-0.33333333333333326,0.03148645350256285,4096,85,0.17839611639953354
0,4,-0.08333333333333337,0.2501830607761777,4096,388,0.15713260366798212
1,4,-0.16666666666666674,0.12521357090554064,4096,275,0.15713260366798212
2,4,-0.08333333333333337,0.01586526726873322,4096,43,0.18669361018555836
3,4,-0.25,0.01586526726873322,4096,37,0.21696824967510836
5,4,-0.25,0.06272882597022211,4096,103,0.15774401457719606
6,4,-0.08333333333333337,0.06272882597022211,4096,165,0.15774401457719606
7,4,-0.25,0.06272882597022211,4096,138,0.15774401457719606
8,4,-0.33333333333333326,0.12521357090554064,4096,236,0.15713260366798212
9,4,-0.16666666666666674,0.03148645350256285,4096,48,0.17839611639953354
10,4,-0.25,0.06272882597022211,4096,191,0.15774401457719606
11,4,-0.16666666666666663,0.12521357090554064,4096,245,0.15713260366798212
12,4,-0.16666666666666663,0.03148645350256285,4096,59,0.17839611639953354
13,4,-0.25,0.06272882597022211,4096,108,0.15774401457719606
14,4,-0.16666666666666663,0.12521357090554064,4096,249,0.15713260366798212
15,4,-0.08333333333333326,0.06272882597022211,4096,139,0.15774401457719606
16,4,0.0,0.12521357090554064,4096,225,0.15713260366798212
17,4,0.08333333333333326,0.06272882597022211,4096,168,0.15774401457719606
18,4,-0.25,0.06272882597022211,4096,163,0.15774401457719606
19,4,-0.25,0.06272882597022211,4096,149,0.15774401457719606
20,4,0.0,0.12521357090554064,4096,289,0.15713260366798212
21,4,-0.16666666666666674,0.03148645350256285,4096,95,0.1677067944452295
22,4,-0.41666666666666663,0.01586526726873322,4096,42,0.19113869614235734
0,5,0.41666666666666663,0.01586526726873322,4096,32,0.25086953868684403
1,5,0.08333333333333337,0.06272882597022211,4096,117,0.15774401457719606
2,5,0.08333333333333337,0.06272882597022211,4096,178,0.15774401457719606
3,5,0.24999999999999994,0.06272882597022211,4096,182,0.15774401457719606
4,5,-0.08333333333333337,0.01586526726873322,4096,12,0.37051501098364653
6,5,0.25,0.06272882597022211,4096,164,0.15774401457719606
7,5,0.25,0.06272882597022211,4096,133,0.15774401457719606
8,5,0.0,0.12521357090554064,4096,237,0.15713260366798212
9,5,0.16666666666666674,0.12521357090554064,4096,232,0.15713260366798212
10,5,0.08333333333333337,0.2501830607761777,4096,361,0.15713260366798212
11,5,-0.08333333333333326,0.06272882597022211,4096,140,0.15774401457719606
12,5,0.25,0.01586526726873322,4096,27,0.2973268606658892
13,5,0.16666666666666674,0.03148645350256285,4096,49,0.17839611639953354
14,5,0.25,0.06272882597022211,4096,159,0.15774401457719606
15,5,0.08333333333333337,0.06272882597022211,4096,146,0.15774401457719606
16,5,0.16666666666666669,0.008054674151818403,4096,9,0.45285168009112353
17,5,0.25,0.01586526726873322,4096,24,0.33449271824912535
18,5,0.08333333333333337,0.06272882597022211,4096,162,0.15774401457719606
19,5,0.08333333333333337,0.06272882597022211,4096,150,0.15774401457719606
20,5,-0.08333333333333337,0.2501830607761777,4096,380,0.15713260366798212
21,5,0.33333333333333337,0.03148645350256285,4096,76,0.17839611639953354
22,5,0.08333333333333326,0.06272882597022211,4096,201,0.15774401457719606
0,6,0.08333333333333326,0.2501830607761777,4096,386,0.15713260366798212
1,6,-0.08333333333333326,0.2501830607761777,4096,312,0.15713260366798212
2,6,0.0,0.5001220405174518,4096,429,0.15713260366798212
3,6,-0.16666666666666669,0.12521357090554064,4096,207,0.15713260366798212
4,6,-0.25,0.06272882597022211,4096,127,0.15774401457719606
5,6,0.0,0.12521357090554064,4096,270,0.15713260366798212
7,6,-0.08333333333333326,0.2501830607761777,4096,340,0.15713260366798212
8,6,-0.08333333333333326,0.2501830607761777,4096,335,0.15713260366798212
9,6,-0.16666666666666663,0.5001220405174518,4096,455,0.15713260366798212
10,6,-0.16666666666666663,0.12521357090554064,4096,220,0.15713260366798212
11,6,-0.08333333333333326,0.06272882597022211,4096,142,0.15774401457719606
12,6,0.08333333333333337,0.06272882597022211,4096,106,0.15774401457719606
13,6,-0.16666666666666663,0.5001220405174518,4096,435,0.15713260366798212
14,6,0.08333333333333326,0.2501830607761777,4096,330,0.15713260366798212
15,6,-0.08333333333333337,1.0,4096,487,0.15713260366798212
16,6,-0.08333333333333337,0.01586526726873322,4096,34,0.2361125069993826
17,6,0.16666666666666674,0.12521357090554064,4096,260,0.15713260366798212
18,6,0.0,0.5001220405174518,4096,467,0.15713260366798212
19,6,-0.08333333333333337,1.0,4096,502,0.15713260366798212
20,6,-0.16666666666666663,0.12521357090554064,4096,290,0.15713260366798212
21,6,0.16666666666666663,0.12521357090554064,4096,203,0.15713260366798212
22,6,-0.16666666666666663,0.5001220405174518,4096,412,0.15713260366798212
0,7,0.16666666666666663,0.03148645350256285,4096,100,0.15932145472296802
1,7,0.16666666666666674,0.12521357090554064,4096,206,0.15713260366798212
2,7,0.25,0.06272882597022211,4096,177,0.15774401457719606
3,7,-0.16666666666666669,0.03148645350256285,4096,75,0.17839611639953354
4,7,-0.08333333333333326,0.06272882597022211,4096,126,0.15774401457719606
5,7,0.25,0.2501830607761777,4096,367,0.15713260366798212
6,7,0.3333333333333333,0.03148645350256285,4096,57,0.17839611639953354
8,7,-0.08333333333333337,0.2501830607761777,4096,365,0.15713260366798212
9,7,0.08333333333333337,0.2501830607761777,4096,352,0.15713260366798212
10,7,0.16666666666666674,0.12521357090554064,4096,221,0.15713260366798212
11,7,0.16666666666666663,0.03148645350256285,4096,78,0.17839611639953354
12,7,0.16666666666666663,0.12521357090554064,4096,285,0.15713260366798212
13,7,0.25,0.2501830607761777,4096,314,0.15713260366798212
14,7,0.25,0.2501830607761777,4096,334,0.15713260366798212
15,7,0.08333333333333337,0.01586526726873322,4096,21,0.37051501098364653
16,7,0.0,0.12521357090554064,4096,222,0.15713260366798212
17,7,0.25,0.2501830607761777,4096,408,0.15713260366798212
18,7,0.16666666666666674,0.12521357090554064,4096,265,0.15713260366798212
19,7,0.16666666666666663,0.5001220405174518,4096,440,0.15713260366798212
20,7,0.08333333333333331,0.2501830607761777,4096,378,0.15713260366798212
21,7,0.33333333333333326,0.12521357090554064,4096,204,0.15713260366798212
22,7,0.0,0.03148645350256285,4096,86,0.17839611639953354
0,8,0.25,0.01586526726873322,4096,39,0.20584167276869253
1,8,0.0,0.03148645350256285,4096,65,0.17839611639953354
2,8,0.16666666666666674,0.12521357090554064,4096,211,0.15713260366798212
3,8,-0.3333333333333333,0.03148645350256285,4096,74,0.17839611639953354
4,8,0.0,0.5001220405174518,4096,442,0.15713260366798212
5,8,0.16666666666666663,0.03148645350256285,4096,61,0.17839611639953354
6,8,0.16666666666666663,0.5001220405174518,4096,469,0.15713260366798212
7,8,0.16666666666666674,0.12521357090554064,4096,240,0.15713260366798212
9,8,0.16666666666666663,0.5001220405174518,4096,457,0.15713260366798212
10,8,0.25,0.2501830607761777,4096,360,0.15713260366798212
11,8,0.08333333333333337,0.06272882597022211,4096,141,0.15774401457719606
12,8,0.16666666666666663,0.03148645350256285,4096,58,0.17839611639953354
13,8,0.0,0.12521357090554064,4096,276,0.15713260366798212
14,8,0.08333333333333326,0.2501830607761777,4096,331,0.15713260366798212
15,8,0.08333333333333326,0.01586526726873322,4096,22,0.364901147180864
16,8,0.25,0.2501830607761777,4096,356,0.15713260366798212
17,8,0.25,0.06272882597022211,4096,157,0.15774401457719606
18,8,0.16666666666666663,0.5001220405174518,4096,468,0.15713260366798212
19,8,0.25,0.2501830607761777,4096,406,0.15713260366798212
20,8,0.25,0.2501830607761777,4096,381,0.15713260366798212
21,8,0.25,0.2501830607761777,4096,305,0.15713260366798212
22,8,0.0,0.03148645350256285,4096,87,0.17839611639953354
0,9,0.25,0.2501830607761777,4096,387,0.15713260366798212
